Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Apartment for Sale in kalashree nanded city, Nanded Pune",650 sqft,Ready to Move,14 out of 18,"₹
71 Lac",,,
"3 BHK Apartment for Sale in Nyati Esteban I, Undri Pune",1600 sqft,Ready to Move,4 out of 12,"₹
1.49 Cr",,,
"3 BHK Apartment for Sale in Pristine O2 World Part 1, Kharadi Pune",1393 sqft,Poss. by Dec '26,15 out of 21,"₹
1.36 Cr",,,
"3 BHK Apartment for Sale in Ashok Meadows, Hinjawadi Pune",1200 sqft,Ready to Move,6 out of 15,"₹
1.52 Cr",,,
"3 BHK Apartment for Sale in Paranjape Blue Ridge, Hinjawadi Pune",1200 sqft,Ready to Move,18 out of 22,"₹
1.14 Cr",,,
"2 BHK Apartment for Sale in Fortaleza, Kalyani Nagar Pune",950 sqft,Ready to Move,4 out of 11,"₹
1.50 Cr",,,
"3 BHK Apartment for Sale in KUL Vtp Cygnus Nation R1 Tower 8, Kharadi Pune",1055 sqft,Ready to Move,12 out of 26,"₹
1.10 Cr",,,
"2 BHK Apartment for Sale in Godrej Hillside, Mahalunge Pune",710 sqft,Ready to Move,16 out of 22,"₹
75 Lac",,,
"2 BHK Apartment for Sale in METROLIFE, Tathawade Pimpri Chinchwad Pune",680 sqft,Ready to Move,5 out of 10,"₹
74.4 Lac",,,
"4 BHK Apartment for Sale in One North, Magarpatta Pune",N/A,Ready to Move,4 out of 15,"₹
6 Cr",,,
"3 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",1700 sqft,Ready to Move,8 out of 20,"₹
3.33 Cr",,,
"3 BHK Apartment for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune",1037 sqft,Poss. by Dec '28,17 out of 22,"₹
95 Lac",,,
"3 BHK Apartment for Sale in Venkatesh Erandwane Central, Erandwane Pune",1373 sqft,Poss. by Sep '26,N/A,"₹
3.39 Cr",,New Property,
"4 BHK Villa for Sale in Supreme Villagio, Somatane Pune",1900 sqft,Poss. by Dec '26,N/A,"₹
2.65 Cr",,New Property,
"2 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune",N/A,Poss. by Mar '28,N/A,"₹
84 Lac",,New Property,Unfurnished
"1 BHK Apartment for Sale in Boston, Charholi BK Pune",531 sqft,Poss. by Dec '26,N/A,"₹
48 Lac",,New Property,Unfurnished
"3 BHK Apartment for Sale in Mirai Phase 1, Punawale, Pimpri Chinchwad Pune",1020 sqft,Poss. by Dec '26,7 out of 17,"₹
1.12 Cr",,New Property,Unfurnished
"3 BHK Apartment for Sale in Elina Luxe, NIBM Annexe Area Pune",1144 sqft,Poss. by Dec '26,N/A,"₹
1.34 Cr",3,New Property,Unfurnished
"4 BHK Apartment for Sale in Suvidhi Apartment, Yerawada, Airport Road Pune",1675 sqft,Ready to Move,N/A,"₹
3.22 Cr",,New Property,Unfurnished
"2 BHK Villa for Sale in Panora Hills, Mukaiwadi Pune",721 sqft,Poss. by Mar '29,N/A,"₹
1.75 Cr",,New Property,Unfurnished
"3 BHK Apartment for Sale in Swojas Advait, Model Colony, Shivaji Nagar Pune",1101 sqft,Poss. by Oct '25,N/A,"₹
2.03 Cr",,New Property,Unfurnished
"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",N/A,Poss. by Dec '27,19 out of 33,"₹
93 Lac",,,
"5 BHK Apartment for Sale in Kohinoor Satori Mahalunge, Mahalunge Pune",2324 sqft,Poss. by Dec '28,7 out of 20,"₹
3.19 Cr",,,
"2 BHK Apartment for Sale in Pristine O2 World Part 1, Kharadi Pune",811 sqft,Poss. by Dec '28,6 out of 22,"₹
1.13 Cr",,,
"3 BHK Apartment for Sale in Pebbles Greenfield, Tathawade Pimpri Chinchwad Pune",1040 sqft,Poss. by Dec '26,12 out of 26,"₹
1.20 Cr",,,
"3 BHK Apartment for Sale in ZENONE, Shankar Kalat Nagar Pune",1123 sqft,Poss. by Sep '27,9 out of 14,"₹
1.40 Cr",,,
"2 BHK Apartment for Sale in Nyati Emerald, Baner Pune",838 sqft,Poss. by May '27,N/A,"₹
1.12 Cr",,New Property,
"3 BHK Apartment for Sale in Merlin Ventana, Baner Pune",1158 sqft,Poss. by Dec '28,N/A,"₹
1.73 Cr",3,New Property,Unfurnished
"4 BHK Apartment for Sale in M Soul Strings, Pashan Pune",2080 sqft,Poss. by Dec '31,N/A,"₹
3.40 Cr",4,New Property,Unfurnished
"3 BHK Apartment for Sale in Amanora Arbano Towers, Hadapsar Pune",1086 sqft,Poss. by May '28,N/A,"₹
1.49 Cr",,New Property,Semi-Furnished
"3 BHK Apartment for Sale in Prasun Adara, Kharadi Pune",1252 sqft,Poss. by May '28,N/A,"₹
1.75 Cr",,New Property,Unfurnished
"3 BHK Apartment for Sale in SkyRise, Wagholi Pune",972 sqft,Poss. by Dec '26,N/A,"₹
81.4 Lac",3,New Property,Unfurnished
"2 BHK Apartment for Sale in Kool Homes Green Valley Phase 2, Bavdhan Pune",956 sqft,Poss. by Jun '28,N/A,"₹
1.30 Cr",,New Property,Unfurnished
"4 BHK Apartment for Sale in Vedashree, Kothrud Pune",1986 sqft,Poss. by Sep '25,N/A,"₹
3.47 Cr",4,New Property,Unfurnished
"3 BHK Apartment for Sale in Kohinoor Viva Pixel, Dhanori Pune",1115 sqft,Poss. by Jun '28,N/A,"₹
1.05 Cr",,New Property,Unfurnished
"2 BHK Apartment for Sale in Sensorium, Hinjawadi Pune",783 sqft,Poss. by May '25,N/A,"₹
1 Cr",2,New Property,Unfurnished
"4 BHK Apartment for Sale in Pristine O2 World Part 1, EON Free Zone, Kharadi Pune",1688 sqft,Poss. by Dec '28,2 out of 12,"₹
2.24 Cr",,,
"3 BHK Apartment for Sale in Kalpataru Jade Skyline, Baner Pune",1189 sqft,Poss. by Dec '26,N/A,"₹
1.81 Cr",3,New Property,Unfurnished
