Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Apartment for Sale in Urban Vista, Rajarhat Kolkata",N/A,Poss. by Dec '26,N/A,"₹
67 Lac",,New Property,
3 BHK Apartment for Sale in Eastern Metropolitan Bypass Kolkata,1000 sqft,Poss. by Dec '24,2 out of 4,"₹
81.8 Lac",,,
"3 BHK Apartment for Sale in One Rajarhat, New Town Kolkata",1400 sqft,Ready to Move,Upper Basement out of 25,"₹
3 Cr",,,
"3 BHK Apartment for Sale in Avidipta, Eastern Metropolitan Bypass Kolkata",1260 sqft,Ready to Move,12 out of 18,"₹
1.85 Cr",,,
"3 BHK Builder Floor for Sale in Realtech Rajvansh, Rajarhat Kolkata",N/A,Poss. by Dec '26,3 out of 4,"₹
39.7 Lac",,,
"2 BHK Apartment for Sale in Radha Kunj Galaxi, Madhyamgram Kolkata",N/A,Ready to Move,N/A,"₹
30.5 Lac",,New Property,
"3 BHK Apartment for Sale in Meena Aurum Phase 2, Gouranganagar Kolkata",N/A,Ready to Move,N/A,"₹
50.6 Lac",,New Property,
"4 BHK Apartment for Sale in Ambuja Utalika The Condoville, Mukundapur Kolkata",2950 sqft,Ready to Move,20 out of 24,"₹
4.50 Cr",,,
"2 BHK Apartment for Sale in Avidipta, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,1 out of 18,"₹
80 Lac",,,
"3 BHK Apartment for Sale in Eden Elegante, Eastern Metropolitan Bypass Kolkata",1100 sqft,Ready to Move,1 out of 4,"₹
70 Lac",,,
"2 BHK Apartment for Sale in Sunshine Green City, Rajarhat Kolkata",N/A,Poss. by Dec '24,N/A,"₹
29.9 Lac",,New Property,
"2 BHK Apartment for Sale in Devaloke Sonar City, Garia Kolkata",N/A,Poss. by Nov '28,N/A,"₹
82 Lac",,New Property,
"2 BHK Apartment for Sale in DTC Capital City, Rajarhat Kolkata",N/A,Poss. by Dec '27,N/A,"₹
45 Lac",,New Property,
"2 BHK Apartment for Sale in Rohra Eco, New Town Kolkata",N/A,Ready to Move,N/A,"₹
41.4 Lac",,New Property,
"3 BHK Apartment for Sale in Urbana, Anandapur Kolkata",N/A,Poss. by Dec '27,N/A,"₹
4.36 Cr",,New Property,
"5 BHK Villa for Sale in Sunshine Green City Villas, Rajarhat Kolkata",2560 sqft,N/A,N/A,"₹
2.14 Cr",,New Property,Unfurnished
"2 BHK Apartment for Sale in JMC Broadway, Sector 5 Salt Lake City Kolkata",N/A,Poss. by Dec '27,5 out of 11,"₹
95 Lac",,,
"3 BHK Apartment for Sale in Hiland Park, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,14 out of 18,"₹
1.02 Cr",,,
"3 BHK Apartment for Sale in Sherwood Estate, Narendrapur Rajpur Sonarpur Kolkata",N/A,Ready to Move,4 out of 4,"₹
59 Lac",,,
"3 BHK Apartment for Sale in Chitrakut Greenville, New Town Kolkata",N/A,Poss. by Dec '28,2 out of 12,"₹
92.9 Lac",,,
"3 BHK Apartment for Sale in Urban Vista, Rajarhat Kolkata",N/A,Poss. by Dec '26,N/A,"₹
67 Lac",,New Property,
"2 BHK Apartment for Sale in Rachana Enclave, Eastern Metropolitan Bypass Kolkata",N/A,Poss. by Mar '25,N/A,"₹
80 Lac",,New Property,
"2 BHK Apartment for Sale in GM Meena Paradise, Kaikhali Kolkata",N/A,Poss. by Dec '25,N/A,"₹
42.9 Lac",,New Property,
"3 BHK Apartment for Sale in Danish Sarovaar, Action Area 3 Kolkata",N/A,Poss. by Jun '25,N/A,"₹
63.2 Lac",,New Property,
"2 BHK Apartment for Sale in Sangita Towers, Joka Kolkata",N/A,Poss. by Aug '26,N/A,"₹
31.1 Lac",,New Property,
"3 BHK Apartment for Sale in Skyscraper Astha, Rajarhat Kolkata",N/A,Poss. by Feb '27,N/A,"₹
53.6 Lac",,New Property,
"4 BHK Apartment for Sale in DTC Capital City, Rajarhat Kolkata",N/A,Poss. by Dec '27,N/A,"₹
98.1 Lac",,New Property,
"2 BHK Apartment for Sale in Natural City Madhyamgram, Madhyamgram Kolkata",609 sqft,Poss. by Dec '26,5 out of 11,"₹
41.9 Lac",,,
"3 BHK Apartment for Sale in Rishi Pranaya, Rajarhat Kolkata",N/A,Poss. by Feb '25,14 out of 23,"₹
90.9 Lac",,,
3 BHK House for Sale in New Town Kolkata,N/A,Ready to Move,N/A,"₹
1 Cr",,Resale,
"2 BHK Apartment for Sale in Urvisha The Condoville, New Town Kolkata",890 sqft,Poss. by Oct '26,5 out of 11,"₹
1.46 Cr",,,
3 BHK Apartment for Sale in Nayabad Kolkata,N/A,Poss. by Nov '24,1 out of 4,"₹
54.8 Lac",,,
3 BHK Apartment for Sale in New Alipore Kolkata,1024 sqft,Poss. by Dec '24,8 out of 12,"₹
1.90 Cr",,,
"3 BHK Villa for Sale in Siddha Suburbia Bungalow, Narendrapur Rajpur Sonarpur Kolkata",N/A,Poss. by Dec '24,N/A,"₹
87 Lac",,New Property,
"2 BHK Apartment for Sale in Urban Vista, Rajarhat Kolkata",602 sqft,Poss. by Dec '26,4 out of 14,"₹
51.8 Lac",,,
"3 BHK Apartment for Sale in Urbana, Eastern Metropolitan Bypass Kolkata",N/A,Poss. by Nov '26,32 out of 42,"₹
3.55 Cr",,,
"2 BHK Apartment for Sale in Urvisha The Condoville, New Town Kolkata",N/A,Poss. by Oct '26,Upper Basement out of 16,"₹
1.33 Cr",,,
"2 BHK Apartment for Sale in Dakhini Phase 1, Patuli Kolkata",900 sqft,Ready to Move,3 out of 10,"₹
70 Lac",,,
"4 BHK Apartment for Sale in Rishi Ecoview, New Town Kolkata",N/A,Ready to Move,10 out of 20,"₹
1.10 Cr",,,
"2 BHK Apartment for Sale in Moni Banyan, Nayabad Kolkata",N/A,Ready to Move,1 out of 4,"₹
33.1 Lac",,,
"2 BHK Apartment for Sale in Hiland Park, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,6 out of 23,"₹
90 Lac",,,
2 BHK Apartment for Sale in New Town Kolkata,805 sqft,Ready to Move,5 out of 5,"₹
39 Lac",,,
"2 BHK Apartment for Sale in Ruchira Residency, Eastern Metropolitan Bypass Kolkata",979 sqft,Ready to Move,10 out of 12,"₹
95 Lac",,,
"3 BHK Apartment for Sale in Siddha Galaxia, Rajarhat Kolkata",N/A,Ready to Move,11 out of 13,"₹
1.20 Cr",,,
"3 BHK Apartment for Sale in Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass Kolkata",974 sqft,Ready to Move,44 out of 46,"₹
2.25 Cr",,,
"4 BHK Apartment for Sale in South City, Prince Anwar Shah Road Kolkata",N/A,Ready to Move,10 out of 15,"₹
6.50 Cr",,,
"2 BHK Apartment for Sale in Ideal Enclave Phase II, Rajarhat Kolkata",N/A,Ready to Move,3 out of 10,"₹
70 Lac",,,
"3 BHK Apartment for Sale in Sakuntala Park, Behala Kolkata",1685 sqft,Ready to Move,4 out of 7,"₹
77 Lac",,,
"3 BHK Apartment for Sale in Rosedale Garden, New Town Kolkata",1538 sqft,Ready to Move,7 out of 25,"₹
1.95 Cr",,,
"2 BHK Apartment for Sale in Reputed Suryalok Apartments, Ballygunge Kolkata",N/A,Ready to Move,3 out of 5,"₹
1.35 Cr",,,
"4 BHK Apartment for Sale in Serenia, Baranagar Kolkata",N/A,Poss. by Jun '28,7 out of 28,"₹
1.18 Cr",,,
"3 BHK Apartment for Sale in Cellesta, Lake Town Kolkata",1076 sqft,Poss. by Dec '28,10 out of 31,"₹
1.45 Cr",,,
3 BHK Villa for Sale in New Town Kolkata,1705 sqft,Poss. by Dec '26,N/A,"₹
1.15 Cr",,New Property,
"3 BHK Apartment for Sale in Ajmir Exotica, Beleghata Kolkata",834 sqft,Poss. by Dec '26,4 out of 7,"₹
93.8 Lac",,,
"3 BHK Apartment for Sale in Solaris Joka Phase 2, Bhasa Kolkata",656 sqft,Poss. by Jun '27,1 out of 14,"₹
46.8 Lac",,,
"2 BHK Apartment for Sale in Urban Greens, Rajarhat Main Road Kolkata",N/A,Poss. by Jun '25,1 out of 10,"₹
64 Lac",,,
"6 BHK Apartment for Sale in Navyom, New Alipore Kolkata",N/A,Poss. by Jan '25,10 out of 11,"₹
8 Cr",,,
"2 BHK Apartment for Sale in Space Aurum, Rathtala Kolkata",N/A,Ready to Move,9 out of 14,"₹
78 Lac",,,
"4 BHK Apartment for Sale in Navya, Madhyamgram Kolkata",1120 sqft,Poss. by Sep '27,8 out of 11,"₹
91.9 Lac",,,
"3 BHK Apartment for Sale in Amora, Tollygunge Kolkata",1081 sqft,Poss. by Mar '28,7 out of 12,"₹
1.30 Cr",,,
"3 BHK Apartment for Sale in The Varanda, Lake Town Kolkata",1423 sqft,Poss. by Jun '29,19 out of 25,"₹
1.95 Cr",,,
"3 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",N/A,Poss. by Dec '27,N/A,"₹
84.5 Lac",,New Property,
"2 BHK Apartment for Sale in Shriram Sunshine One, Uttarpara Chinsurah Kolkata",N/A,Poss. by Dec '24,2 out of 14,"₹
40 Lac",,,
3 BHK Villa for Sale in Daspara Mukundapur Kolkata,2140 sqft,Ready to Move,N/A,"₹
1 Cr",,Resale,
3 BHK Apartment for Sale in New Town Kolkata,980 sqft,Poss. by May '26,2 out of 5,"₹
85 Lac",,,
3 BHK Apartment for Sale in New Alipore Kolkata,1047 sqft,Poss. by Dec '27,8 out of 18,"₹
1.22 Cr",,,
"4 BHK Apartment for Sale in The Varanda, Lake Town Kolkata",N/A,Poss. by Sep '29,10 out of 25,"₹
2.14 Cr",,,
3 BHK House for Sale in Kulberia Kolkata,N/A,Ready to Move,N/A,"₹
38.7 Lac",,Resale,
1 BHK Apartment for Sale in Rajpur Kolkata,N/A,Poss. by Jun '27,3 out of 4,"₹
19.1 Lac",,,
"3 BHK Apartment for Sale in Rishi Pranaya, Rajarhat Kolkata",880 sqft,Poss. by Apr '26,17 out of 26,"₹
82 Lac",,,
4 BHK Apartment for Sale in Action Area 2 Kolkata,1969 sqft,Poss. by Dec '27,15 out of 35,"₹
2.76 Cr",,,
"3 BHK Apartment for Sale in Merlin Urvan, Nagerbazar Kolkata",851 sqft,Poss. by Dec '24,7 out of 13,"₹
1.11 Cr",,,
"2 BHK Apartment for Sale in Siddha Suburbia, Netaji Subhash Chandra Bose Road Kolkata",N/A,Poss. by Dec '25,12 out of 14,"₹
49.7 Lac",,,
"2 BHK Apartment for Sale in Urban Vista, Majarhati Kolkata",640 sqft,Poss. by Dec '26,10 out of 12,"₹
54.6 Lac",,,
"3 BHK Apartment for Sale in Sanctuary, Tollygunge Kolkata",N/A,Poss. by Oct '25,10 out of 25,"₹
3.70 Cr",,,
"3 BHK Apartment for Sale in Town Square, New Town Kolkata",1260 sqft,Poss. by Jan '28,23 out of 24,"₹
2.21 Cr",,,
3 BHK Villa for Sale in Diamond Harbour Road Kolkata,1385 sqft,Poss. by Nov '26,N/A,"₹
1.04 Cr",,New Property,
3 BHK Villa for Sale in Action Area 3 Kolkata,1100 sqft,Poss. by Jul '25,N/A,"₹
65.2 Lac",,New Property,
6 BHK Villa for Sale in Dankuni Kolkata,6493 sqft,Poss. by Dec '24,N/A,"₹
6 Cr",,New Property,
"3 BHK Apartment for Sale in Vinayak Vista, Lake Town Kolkata",1355 sqft,Poss. by Dec '26,11 out of 27,"₹
1.33 Cr",,,
"3 BHK Apartment for Sale in Laguna, Eastern Metropolitan Bypass Kolkata",1300 sqft,Poss. by Jan '25,4 out of 23,"₹
1.70 Cr",,,
"2 BHK Apartment for Sale in Urban Vista, Rajarhat Kolkata",640 sqft,Poss. by Dec '26,6 out of 14,"₹
54 Lac",,,
"2 BHK Apartment for Sale in The Avalon Heights, Mahamaya Tala, Garia Kolkata",N/A,Poss. by Dec '28,5 out of 11,"₹
61 Lac",,,
2 BHK Apartment for Sale in Action Area 2 Kolkata,N/A,Poss. by Apr '26,2 out of 4,"₹
49.3 Lac",,,
3 BHK Builder Floor for Sale in Action Area 2B Kolkata,1250 sqft,Poss. by Sep '25,3 out of 5,"₹
82 Lac",,,
3 BHK Villa for Sale in Action Area 3 Kolkata,N/A,Poss. by Aug '26,N/A,"₹
85 Lac",,New Property,
"3 BHK Villa for Sale in Southern Vista, Rajpur Sonarpur Kolkata",1145 sqft,Poss. by Oct '24,N/A,"₹
1.08 Cr",,New Property,
"3 BHK Apartment for Sale in The Avalon Heights, Mahamaya Tala, Garia Kolkata",769 sqft,Poss. by Dec '25,9 out of 11,"₹
84 Lac",,,
"4 BHK Apartment for Sale in Anant Mani, Ultadanga Kolkata",2080 sqft,Poss. by Dec '24,19 out of 24,"₹
4 Cr",,,
3 BHK Apartment for Sale in Action Area 3 Kolkata,N/A,Poss. by Oct '24,4 out of 4,"₹
57.4 Lac",,,
2 BHK Apartment for Sale in Purba Barisha Kolkata,518 sqft,Poss. by Dec '27,5 out of 18,"₹
61 Lac",,,
"3 BHK Apartment for Sale in 4th Avenue, Nayapatty Kolkata",1200 sqft,Poss. by Dec '25,7 out of 26,"₹
2.50 Cr",,,
"4 BHK Apartment for Sale in Vishnu Priya, Tollygunge Kolkata",N/A,Poss. by Dec '27,N/A,"₹
1.99 Cr",,New Property,
"4 BHK Apartment for Sale in Navyom, New Alipore Kolkata",1608 sqft,Poss. by Aug '25,N/A,"₹
3.41 Cr",,New Property,
"3 BHK Apartment for Sale in Urbana Phase 2, Anandapur Kolkata",N/A,Poss. by Jun '26,33 out of 43,"₹
3.06 Cr",,,
"3 BHK Apartment for Sale in Ideal Niketan, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,6 out of 10,"₹
95 Lac",,,
"3 BHK Apartment for Sale in Southern Woods, Garia Kolkata",N/A,Poss. by Oct '26,N/A,"₹
78.7 Lac",,New Property,
"3 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",N/A,Poss. by Dec '27,N/A,"₹
98.6 Lac",,New Property,
"3 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",N/A,Poss. by Dec '27,N/A,"₹
98.6 Lac",,New Property,
"3 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",N/A,Poss. by Dec '27,N/A,"₹
99.4 Lac",,New Property,
"5 BHK Apartment for Sale in The Varanda, Lake Town Kolkata",N/A,Poss. by Jun '29,N/A,"₹
3.45 Cr",,New Property,
"4 BHK Apartment for Sale in DTC Capital City, Rajarhat Kolkata",N/A,Poss. by Dec '27,N/A,"₹
95.9 Lac",,New Property,
"3 BHK Apartment for Sale in PS ONE10, New Town Kolkata",N/A,Poss. by Dec '26,N/A,"₹
1.74 Cr",,New Property,
"4 BHK Apartment for Sale in Bhawani Inara, New Town Kolkata",1545 sqft,Poss. by Dec '25,8 out of 13,"₹
2.20 Cr",,,
"3 BHK Apartment for Sale in Dream Gurukul, Madhyamgram Kolkata",N/A,Poss. by Dec '27,6 out of 7,"₹
61.8 Lac",,,
3 BHK Apartment for Sale in Kankurgachi Kolkata,N/A,Poss. by Apr '28,8 out of 16,"₹
3.11 Cr",,,
4 BHK Apartment for Sale in Kankurgachi Kolkata,N/A,Poss. by Apr '28,9 out of 16,"₹
3.62 Cr",,,
"4 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",1281 sqft,Poss. by Dec '28,14 out of 32,"₹
1.48 Cr",,,
4 BHK Villa for Sale in New Town Kolkata,N/A,Poss. by Dec '26,N/A,"₹
1.43 Cr",,New Property,
"3 BHK Apartment for Sale in Niavara, Entally Kolkata",1050 sqft,Poss. by May '27,10 out of 32,"₹
2.10 Cr",,,
"4 BHK Apartment for Sale in Merlin The Fourth, Sector 5 Salt Lake City Kolkata",N/A,Poss. by Mar '25,12 out of 26,"₹
3.50 Cr",,,
"3 BHK Apartment for Sale in Dream Gurukul, Madhyamgram Kolkata",853 sqft,Poss. by Apr '27,1 out of 1,"₹
55.2 Lac",,,
2 BHK Apartment for Sale in Haltu Kolkata,N/A,Poss. by Apr '25,1 out of 3,"₹
33.6 Lac",,,
3 BHK Apartment for Sale in Action Area 1 Kolkata,1000 sqft,Poss. by Dec '24,3 out of 4,"₹
85 Lac",,,
"4 BHK Apartment for Sale in Dunlop, Dakshineswar, Belgharia Expressway Kolkata",N/A,Poss. by Dec '24,25 out of 25,"₹
1.52 Cr",,,
"2 BHK Apartment for Sale in One Rajarhat, Action Area 1 Kolkata",1000 sqft,Ready to Move,8 out of 20,"₹
1.55 Cr",,,
4 BHK Apartment for Sale in Ballygunge Kolkata,1500 sqft,Poss. by Aug '26,4 out of 12,"₹
4.51 Cr",,,
"3 BHK Apartment for Sale in Nirvana, Sonarpur Kolkata",1200 sqft,Poss. by Feb '26,2 out of 2,"₹
95 Lac",,,
3 BHK Apartment for Sale in Nayabad Kolkata,900 sqft,Poss. by Mar '25,1 out of 3,"₹
48 Lac",,,
"4 BHK Apartment for Sale in PS Vaanya, Action Area 2 Kolkata",2400 sqft,Poss. by Dec '27,25 out of 35,"₹
3.50 Cr",,,
2 BHK Apartment for Sale in Madhyamgram Kolkata,800 sqft,Ready to Move,3 out of 3,"₹
30 Lac",,,
6 BHK House for Sale in Chetla Kolkata,N/A,Ready to Move,N/A,"₹
2.25 Cr",,Resale,
"4 BHK Apartment for Sale in Blossom County, New Alipore Kolkata",1296 sqft,Ready to Move,6 out of 10,"₹
1.85 Cr",,,
"2 BHK Apartment for Sale in Mayfair Eternity, Jagatdal Kolkata",650 sqft,Ready to Move,2 out of 4,"₹
25 Lac",,,
3 BHK Apartment for Sale in Chinsurah Kolkata,848 sqft,Ready to Move,5 out of 5,"₹
39 Lac",,Resale,Unfurnished
3 BHK Apartment for Sale in Tollygunge Kolkata,N/A,Ready to Move,1 out of 3,"₹
60 Lac",2,Resale,Unfurnished
"4 BHK Apartment for Sale in Uttalika, Mukandapur Kolkata",N/A,Ready to Move,9 out of 32,"₹
6 Cr",,,
"3 BHK Apartment for Sale in Su Casa Twins, Rajpur Sonarpur Kolkata",N/A,Ready to Move,4 out of 5,"₹
50 Lac",,,
3 BHK Apartment for Sale in Kankurgachi Kolkata,1440 sqft,Ready to Move,11 out of 12,"₹
2.15 Cr",,,
3 BHK Builder Floor for Sale in Entally Kolkata,1100 sqft,Ready to Move,1 out of 3,"₹
1.50 Cr",,,
"2 BHK Apartment for Sale in Hiland Greens, Maheshtala Kolkata",N/A,Ready to Move,11 out of 14,"₹
28 Lac",,,
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",1244 sqft,Ready to Move,8 out of 16,"₹
45 Lac",,,
3 BHK Apartment for Sale in Dum Dum Kolkata,1080 sqft,Ready to Move,3 out of 5,"₹
50 Lac",2,Resale,Unfurnished
