City,Price,Area (sqft),Construction Status,BHK,Bathrooms,Location_encoded
0,16500000.0,627,0,1.0,1.0,71
0,8800000.0,700,0,1.0,1.0,176
0,9500000.0,700,0,1.0,1.0,176
0,9700000.0,700,0,1.0,1.0,176
0,9900000.0,700,0,1.0,1.0,176
0,1400000.0,276,0,1.0,2.0,182
0,1400000.0,276,0,1.0,2.0,182
0,1400000.0,276,0,1.0,2.0,182
0,1400000.0,276,0,1.0,2.0,182
0,2756000.0,313,0,1.0,2.0,353
0,2756000.0,313,0,1.0,2.0,353
0,2450000.0,375,0,1.0,2.0,418
1,4399000.0,489,0,1.0,4.0,46
1,3200000.0,646,0,1.0,4.0,111
1,4300000.0,650,0,1.0,4.0,111
1,4472000.0,657,0,1.0,4.0,111
1,3000000.0,620,0,1.0,4.0,137
0,10700000.0,522,0,1.0,1.0,138
0,4800000.0,380,0,1.0,1.0,250
0,8600000.0,430,0,1.0,1.0,274
0,3000000.0,550,0,1.0,1.0,289
0,3200000.0,550,0,1.0,1.0,289
0,2000000.0,625,0,1.0,1.0,315
0,2100000.0,550,0,1.0,1.0,315
0,2300000.0,580,0,1.0,1.0,315
0,3000000.0,552,0,1.0,1.0,315
0,3000000.0,592,0,1.0,1.0,315
0,1950000.0,650,0,1.0,1.0,370
0,9200000.0,460,0,1.0,1.0,458
0,2800000.0,635,0,1.0,2.0,11
0,3000000.0,680,0,1.0,2.0,11
0,7425000.0,363,0,1.0,2.0,69
0,7564000.0,370,0,1.0,2.0,69
0,7664000.0,376,0,1.0,2.0,69
0,6542000.0,374,0,1.0,1.0,96
0,6545000.0,374,0,1.0,1.0,96
0,6575000.0,376,0,1.0,1.0,96
0,6575000.0,376,0,1.0,2.0,96
0,6639000.0,379,0,1.0,1.0,96
0,6679000.000000001,382,0,1.0,1.0,96
0,6805000.0,389,0,1.0,2.0,96
0,6809000.0,389,0,1.0,2.0,96
0,7900000.0,451,0,1.0,2.0,96
0,8001000.000000001,457,0,1.0,1.0,96
0,9500000.0,640,0,1.0,2.0,172
0,7200000.0,700,0,1.0,1.0,266
0,4000000.0,705,0,1.0,1.0,418
0,4600000.0,660,0,1.0,1.0,432
0,4700000.0,670,0,1.0,2.0,432
0,4800000.0,680,0,1.0,2.0,432
0,5000000.0,700,0,1.0,2.0,432
0,4350000.0,635,0,1.0,2.0,172
0,6200000.0,650,0,1.0,2.0,202
0,6700000.0,750,0,1.0,2.0,266
0,7600000.0,715,0,1.0,2.0,266
0,3000000.0,590,0,1.0,2.0,289
0,7500000.0,607,0,1.0,2.0,425
0,9200000.0,1000,0,1.0,2.0,425
1,3600000.0,605,0,1.0,9.0,435
